item_id	title	output_file	rows	columns	description	source_files
ED01	pseudobulk_qc_and_donor_eligibility	supplement/ExtendedData01_pseudobulk_qc_and_donor_eligibility.tsv	61	17	Donor-stratum coverage and 20/30/50-nucleus comparison eligibility.	results/GSE219280_pseudobulk_DE/sample_inclusion_by_group.tsv; results/GSE219280_same_celltype_fixed_programs/comparison_QC.tsv
ED02	full_discovery_family_matrix_and_region_interactions	supplement/ExtendedData02_full_discovery_family_matrix_and_region_interactions.tsv	227	34	Full primary seven-family matrix and shortlist gene region interactions; pathway and gene estimands remain labelled separately.	results/GSE219280_same_celltype_fixed_programs/fixed_family_fgsea_results.tsv; results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv
ED03	discovery_threshold_and_donor_loo_sensitivity	supplement/ExtendedData03_discovery_threshold_and_donor_loo_sensitivity.tsv	189	39	All family-axis threshold comparisons and donor leave-one-out stability summaries.	results/GSE219280_same_celltype_fixed_programs/threshold_sensitivity_by_program.tsv; results/GSE219280_same_celltype_fixed_programs_LOO/leave_one_donor_out_program_stability.tsv
ED04	full_gittings_family_results_and_partition_audit	supplement/ExtendedData04_full_gittings_family_results_and_partition_audit.tsv	618	25	Complete Gittings family output, asset/partition donor mapping, and skipped models.	results/Gittings_2023_C9_snRNA/fixed_7_family_fgsea_results.tsv; results/Gittings_2023_C9_snRNA/CELLxGENE_API_asset_donor_manifest.tsv; results/Gittings_2023_C9_snRNA/program_model_skipped_celltypes.tsv
ED05	stable_discordant_cross_cohort_axes	supplement/ExtendedData05_stable_discordant_cross_cohort_axes.tsv	3	13	Both-cohort global-FDR significant and >=90% LOO-stable axes with opposite directions.	results/submission_cross_cohort_evidence_v1/exact_estimand_program_replication.tsv
ED06	grn_ftd_cross_genetic_boundary_analysis	supplement/ExtendedData06_grn_ftd_cross_genetic_boundary_analysis.tsv	20	59	Three primary global-FDR GRN-FTD axes with matched LOO and RIN complete-case sensitivity.	results/GSE163122_FTD_GRN_validation/fixed_family_fgsea_results.tsv; results/GSE163122_FTD_GRN_validation/leave_one_donor_out/LOO_program_stability.tsv; results/GSE163122_FTD_GRN_validation/RIN_complete_case_sensitivity/main_vs_complete_case_program_comparison.tsv
ED07	full_17_gene_cohort_specific_effects	supplement/ExtendedData07_full_17_gene_cohort_specific_effects.tsv	578	21	All frozen 17-gene cohort-specific effects without pooled meta-analysis.	results/submission_cross_cohort_evidence_v1/unified_17_gene_evidence_forest_data.tsv
ED08	tdp43_splicing_provenance_and_capability_audit	supplement/ExtendedData08_tdp43_splicing_provenance_and_capability_audit.tsv	10	31	Published event-level evidence, local assay capability, and author-reported donor tests.	results/TDP43_splicing_v2/predefined_key_gene_splicing_evidence.tsv; results/TDP43_splicing_v2/data_availability_and_claim_audit.tsv; results/TDP43_splicing_v2/Gittings_2023_author_reported_donor_tests.tsv
ED09	gse219279_technical_adjustment_and_motif_gate	supplement/ExtendedData09_gse219279_technical_adjustment_and_motif_gate.tsv	17	20	Technical sensitivity of same-donor ATAC and explicit motif/TF-activity capability boundary.	results/snATAC_GSE219279/regulatory_v2/technical_adjustment_robustness_summary.tsv; results/snATAC_GSE219279/regulatory_v2/RNA_ATAC_targeted_concordance_summary.tsv; results/snATAC_GSE219279/regulatory_v2/project_capability_audit.tsv
ED10	gse212630_multiome_qc_dar_and_peak_gene_gate	supplement/ExtendedData10_gse212630_multiome_qc_dar_and_peak_gene_gate.tsv	1388213	24	Multiome QC, full donor-level DAR output, same-nucleus candidate correlations, and motif gate.	results/GSE212630_multiome/GSE212630_analysis_QC_summary.tsv; results/GSE212630_multiome/GSE212630_ATAC_celltype_donor_DAR_trend.tsv; results/GSE212630_multiome/GSE212630_same_nucleus_peak_gene_links_17_targets.tsv; results/GSE212630_multiome/GSE212630_motif_interpretation_gate.tsv
ED11	full_donor_level_composition_and_loo	supplement/ExtendedData11_full_donor_level_composition_and_loo.tsv	196	26	All donor-level CLR differential-abundance models and leave-one-donor-out summaries.	results/pre_submission_composition_abundance/GSE219280_CLR_composition_results.tsv; results/pre_submission_composition_abundance/GSE219280_CLR_composition_LOO.tsv; results/pre_submission_composition_abundance/Gittings2023_CLR_composition_results.tsv; results/pre_submission_composition_abundance/Gittings2023_CLR_composition_LOO.tsv; results/pre_submission_composition_abundance/GSE212630_CLR_composition_pTDP_results.tsv; results/pre_submission_composition_abundance/GSE212630_CLR_composition_pTDP_LOO.tsv
ED12	gse153960_bulk_composition_adjusted_sensitivity	supplement/ExtendedData12_gse153960_bulk_composition_adjusted_sensitivity.tsv	85608	23	Full bulk primary-versus-composition-adjusted gene-effect sensitivity.	results/GSE153960_composition_sensitivity/primary_vs_composition_adjusted_summary.tsv; results/GSE153960_composition_sensitivity/primary_vs_composition_adjusted_gene_effects.tsv
ED13	Ruf_2026_frozen_same_nucleus_validation	supplement/ExtendedData13_Ruf_2026_frozen_same_nucleus_validation.tsv	618	104	Frozen external diagnostic programme, gene, promoter-ATAC and joint-evidence validation in 79 motor-cortex donors.	results/Ruf_2026_frozen_validation/final_strict_Ruf_programme_axes.tsv; results/Ruf_2026_frozen_validation/final_strict_Ruf_single_gene_axes.tsv; results/Ruf_2026_frozen_validation/final_three_cohort_ALS_programme_replication.tsv; results/Ruf_2026_frozen_validation/ATAC_targeted_results.tsv; results/Ruf_2026_frozen_validation/RNA_ATAC_joint_results.tsv; results/Ruf_2026_frozen_validation/RNA_C9_ALSFTD_sensitivity_7_family.tsv
